iteration,system,target_emotion,control_params,judged_V,judged_A,judged_D,judge_family,judge_confidence,distance_to_target,accepted
122,openai-tts-fair-gen,joy,"4o-mini-tts;voice=coral;instr=Speak with genuine delight: warm, bright, smiling while spea;sent=s3",0.223,0.596,0.434,joy,0.8,0.256,1
123,openai-tts-fair-gen,anger,"4o-mini-tts;voice=coral;instr=Speak with furious, harsh, clipped, seething rage — raised v;sent=s2",-0.108,0.598,0.422,joy,0.8,0.329,0
124,openai-tts-fair-gen,anger,"4o-mini-tts;voice=coral;instr=Speak with furious, harsh, clipped, seething rage — raised v;sent=s3",-0.028,0.711,0.545,anger,0.8,0.415,1
125,chatterbox-fair-gen,sadness,ref=sadness;ex=0.3;cfg=0.5;sent=s2,0.044,0.35,0.1,neutral,0.6,0.368,0
126,chatterbox-fair-gen,sadness,ref=sadness;ex=0.3;cfg=0.5;sent=s3,0.017,0.354,0.004,sadness,0.6,0.308,1
127,chatterbox-fair-gen,joy,ref=joy;ex=0.5;cfg=0.5;sent=s2,0.256,0.507,0.24,joy,0.6,0.099,1
128,chatterbox-fair-gen,joy,ref=joy;ex=0.5;cfg=0.5;sent=s3,0.322,0.53,0.245,anger,0.6,0.077,0
129,chatterbox-fair-gen,anger,ref=anger;ex=0.5;cfg=0.7;sent=s2,0.126,0.558,0.237,joy,0.4,0.59,0
130,chatterbox-fair-gen,anger,ref=anger;ex=0.5;cfg=0.7;sent=s3,0.344,0.676,0.416,joy,1.0,0.765,0
131,observatory-demo,anger,"emo_vector=[0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];spk=ravdess_neutral_A01",-0.379,0.772,0.588,anger,1.0,0.197,1
132,observatory-demo,sadness,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3];spk=ravdess_neutral_A01",-0.231,0.245,-0.076,neutral,1.0,0.153,0
133,indextts2-abcA-det,sadness,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.196,0.25,-0.078,neutral,1.0,0.163,0
134,indextts2-abcA-det,sadness,"emo_vector=[0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 0.0, 0.0];spk=ravdess_neutral_A01;p47_r1",-0.168,0.259,-0.029,neutral,1.0,0.177,0
